Short Code,Short Number,Branch,Number
BNK,BNK,BNK CONTABILIDADE SEDE,1
S01,101,S01 AG PORTO DE MAPUTO,2
S02,102,S02 AG PONTO FINAL,3
S03,103,S03 AG AV. DE TRABALHO,4
S04,104,S04 AG MAO TSE TUNG,5
S05,105,S05 BAIRRO CENTRAL,6
S06,106,S06 BALCAO 24 JULHO,7
S07,107,S07 AG 25 DE SETEMBRO,8
S08,108,S08 AGENCIA DA SEDE,9
S09,109,S09 A.JOAQUIM CHISSANO,10
S10,110,S10 AG RUA DA FRANCA,11
S11,111,S11 AGENCIA DA MACHAVA,12
S12,112,S12 AGENCIA SHOPRITE,13
S13,113,S13 AG JULIUS NYERERE,14
S14,114,S14 AGENCIA XAI-XAI,15
S15,115,S15 AGENCIA MAXIXE,16
S16,116,S16 EXECUTIVE BANKING,17
S17,117,S17 AGENCIA DA MATOLA,18
S18,118,S18 AGENCIA DO JAT,19
S19,119,S19 AGENCIA XIPAMANINE,20
S20,120,S20 AG AVENIDA ANGOLA,21
S21,121,S21 PRIVATE BANKING,22
S22,122,S22 AGENC DE XINAVANE,23
S23,123,S23 AGENCIA ZIMPETO,24
S24,124,S24 AGENC. SUPER MARES,25
S25,125,S25 AGENCIA FEIMA,26
S26,126,S26 CDM MAPUTO,27
S27,127,S27 AGENCIA BAIA MALL,28
S28,128,S28 AGENCIA MATOLA D,29
S29,129,S29 AGEN. MANGUNGUMETE,30
S95,195,S95 BACK OFFICE,31
S96,196,S96 AG CARTAO CREDITO,32
C01,201,C01 AGENCIA DA BEIRA,33
C02,202,C02 AG PERO D ALEMQUER,34
C03,203,C03 AG DE QUELIMANE,35
C04,204,C04 AGENCIA DE TETE,36
C05,205,C05 AGENCIA CHIMOIO,37
C06,206,C06 AGENCIA CAIA,38
C07,207,C07 AG ALTO MOLOCUE,39
C08,208,C08 AGENCIA MAQUININO,40
C09,209,C09 AGENCIA DE MOATIZE,41
C10,210,C10 AG CDM MANGA,42
C11,211,C11 AG DE CHINGODZI,43
N01,301,N01 AGENCIA NAMPULA,44
N02,302,N02 AGENCIA NACALA,45
N03,303,N03 AGENCIA PEMBA,46
N04,304,N04 AGENCIA LICHINGA,47
N05,305,N05 AG DE NACALA ALTA,48
N06,306,N06 AGENCIA DE CUAMBA,49
N07,307,N07 AGENCIA MUSEU,50
N08,308,N08 AGENCIA CARIACO,51
N09,309,N09 AG CDM NAMPULA,52
N10,310,N10 AGENCIA RIBAUE,53
N11,311,N11 AGENCIA PALMA,54
N12,312,N12 AGENCIA BALAMA,55
